순위	선수명	팀명	POS	G	GS	IP	E	PKO	PO	A	DP	FPCT	PB	SB	CS	CS%
1	박민우	NC	2루수	141	133	1127 2/3	11	0	266	376	88	0.983	0	0	0	-
2	김하성	넥센	유격수	140	139	1209 1/3	21	0	212	408	87	0.967	0	0	0	-
2	손시헌	NC	유격수	140	137	1102	13	0	187	347	75	0.976	0	0	0	-
4	오지환	LG	유격수	137	132	1155 2/3	15	0	223	449	96	0.978	0	0	0	-
4	필	KIA	1루수	137	133	1091 2/3	8	0	1043	90	117	0.993	0	0	0	-
6	황재균	롯데	3루수	135	128	1118 1/3	16	0	62	253	25	0.952	0	0	0	-
7	박경수	KT	2루수	134	131	1076	6	0	311	347	101	0.991	0	0	0	-
8	김재호	두산	유격수	133	128	1112 2/3	16	0	187	352	73	0.971	0	0	0	-
9	박병호	넥센	1루수	131	131	1124 1/3	12	0	1113	93	103	0.990	0	0	0	-
9	이범호	KIA	3루수	131	127	986 2/3	9	0	77	198	28	0.968	0	0	0	-
11	박석민	삼성	3루수	129	129	1066 2/3	14	0	63	206	16	0.951	0	0	0	-
11	정훈	롯데	2루수	129	127	1060 1/3	17	0	258	332	83	0.972	0	0	0	-
13	김상수	삼성	유격수	128	128	1092	18	0	175	323	62	0.965	0	0	0	-
13	김성현	SK	유격수	128	116	991 2/3	22	0	164	320	74	0.957	0	0	0	-
15	나바로	삼성	2루수	126	124	1058 1/3	12	0	268	293	74	0.979	0	0	0	-
16	테임즈	NC	1루수	125	125	1010	4	0	934	70	88	0.996	0	0	0	-
17	지석훈	NC	3루수	124	106	835	12	0	72	165	18	0.952	0	0	0	-
17	정근우	한화	2루수	124	120	1015 1/3	10	0	267	367	85	0.984	0	0	0	-
19	박기혁	KT	유격수	119	95	767 1/3	8	0	134	279	62	0.981	0	0	0	-
20	박정권	SK	1루수	117	112	973 2/3	8	0	897	78	83	0.992	0	0	0	-
21	오재원	두산	2루수	114	110	937 2/3	8	0	238	278	73	0.985	0	0	0	-
22	마르테	KT	3루수	106	106	854 1/3	15	0	86	198	34	0.950	0	0	0	-
23	문규현	롯데	유격수	105	86	739 2/3	11	0	124	276	49	0.973	0	0	0	-
24	강경학	한화	유격수	97	72	639 2/3	12	0	129	212	48	0.966	0	0	0	-
25	허경민	두산	3루수	95	79	711 1/3	9	0	61	176	18	0.963	0	0	0	-
25	김태균	한화	1루수	95	94	760 1/3	9	0	755	59	74	0.989	0	0	0	-
27	주현상	한화	3루수	94	65	559 2/3	7	0	46	140	14	0.964	0	0	0	-
28	심우준	KT	유격수	93	36	394	10	0	90	130	28	0.957	0	0	0	-
29	박지규	LG	2루수	92	44	459	2	0	99	159	48	0.992	0	0	0	-
30	박종윤	롯데	1루수	91	80	692 2/3	4	0	729	44	57	0.995	0	0	0	-
31	구자욱	삼성	1루수	90	62	590 2/3	8	0	498	22	41	0.985	0	0	0	-
32	강한울	KIA	유격수	88	77	665 1/3	12	0	118	238	60	0.967	0	0	0	-
33	권용관	한화	유격수	84	65	568	12	0	107	162	47	0.957	0	0	0	-
34	김민우	KIA	2루수	83	69	554 2/3	2	0	143	208	49	0.994	0	0	0	-
35	나주환	SK	2루수	82	58	526	3	0	126	153	37	0.989	0	0	0	-
36	손주인	LG	2루수	80	69	526 2/3	7	0	134	193	46	0.979	0	0	0	-
37	채태인	삼성	1루수	78	73	568	4	0	483	29	42	0.992	0	0	0	-
38	신명철	KT	1루수	76	36	346 2/3	2	0	317	26	42	0.994	0	0	0	-
39	정성훈	LG	1루수	74	66	544 2/3	2	0	571	27	66	0.997	0	0	0	-
39	박계현	SK	2루수	74	60	508 1/3	7	0	110	144	29	0.973	0	0	0	-
41	서건창	넥센	2루수	72	67	566	11	0	148	174	49	0.967	0	0	0	-
41	윤석민	넥센	3루수	72	64	560 1/3	11	0	49	110	17	0.935	0	0	0	-
43	최정	SK	3루수	71	71	596	4	0	43	133	14	0.978	0	0	0	-
44	김민성	넥센	3루수	69	62	547 2/3	4	0	57	111	11	0.977	0	0	0	-
45	김지수	넥센	2루수	67	24	273 2/3	1	0	62	84	25	0.993	0	0	0	-
45	히메네스	LG	3루수	67	65	566	6	0	50	134	19	0.968	0	0	0	-
45	김상현	KT	1루수	67	60	512 2/3	9	0	468	48	52	0.983	0	0	0	-
48	양석환	LG	3루수	66	51	447 2/3	5	0	27	86	12	0.958	0	0	0	-
49	모창민	NC	3루수	65	36	343 1/3	5	0	23	79	10	0.953	0	0	0	-
50	오재일	두산	1루수	64	50	449	3	0	445	27	56	0.994	0	0	0	-
51	오승택	롯데	유격수	62	42	340 1/3	11	0	41	119	22	0.936	0	0	0	-
52	박찬호	KIA	유격수	60	46	375	6	0	66	120	28	0.969	0	0	0	-
52	최용규	KIA	2루수	60	48	403 2/3	4	0	106	135	36	0.984	0	0	0	-
54	양석환	LG	1루수	59	38	363	5	0	384	27	48	0.988	0	0	0	-
55	조영훈	NC	1루수	56	17	215 1/3	4	0	209	15	22	0.982	0	0	0	-
56	최주환	두산	3루수	53	33	308	5	0	28	55	4	0.943	0	0	0	-
56	김대륙	롯데	유격수	53	15	194 1/3	3	0	27	74	12	0.971	0	0	0	-
58	김회성	한화	3루수	49	41	347 2/3	5	0	31	81	8	0.957	0	0	0	-
59	오승택	롯데	1루수	42	19	202 2/3	5	0	213	13	22	0.978	0	0	0	-
60	노진혁	NC	유격수	41	1	81	1	0	10	22	7	0.970	0	0	0	-
60	김회성	한화	1루수	41	20	198 1/3	2	0	185	13	22	0.990	0	0	0	-
62	댄블랙	KT	1루수	38	38	279 1/3	4	0	264	10	33	0.986	0	0	0	-
63	박진만	SK	3루수	37	10	157	2	0	12	27	1	0.951	0	0	0	-
64	김민성	넥센	2루수	36	32	250	1	0	68	98	25	0.994	0	0	0	-
65	김현수	두산	1루수	35	20	211 1/3	0	0	186	10	18	1.000	0	0	0	-
