순위	선수명	팀명	POS	G	GS	IP	E	PKO	PO	A	DP	FPCT	PB	SB	CS	CS%
72	이현곤	KIA	3루수	21	13	105	0	0	11	21	2	1.000	0	0	0	-
72	김일경	넥센	2루수	21	10	106 1/3	2	0	27	33	6	0.968	0	0	0	-
72	지석훈	넥센	2루수	21	13	108 1/3	3	0	31	45	12	0.962	0	0	0	-
72	전현태	한화	2루수	21	6	64 1/3	1	0	21	25	9	0.979	0	0	0	-
76	장영석	넥센	1루수	19	7	85	1	0	72	11	9	0.988	0	0	0	-
76	정원석	한화	2루수	19	8	80 1/3	1	0	22	27	4	0.980	0	0	0	-
78	김현수	두산	1루수	18	7	81 2/3	2	0	80	9	7	0.978	0	0	0	-
78	황재균	롯데	유격수	18	11	92 1/3	3	0	19	25	7	0.936	0	0	0	-
78	지석훈	넥센	3루수	18	10	101 1/3	1	0	6	26	5	0.970	0	0	0	-
81	최동수	SK	1루수	17	9	67 1/3	1	0	63	3	2	0.985	0	0	0	-
81	김주형	KIA	3루수	17	9	79 1/3	3	0	4	16	2	0.870	0	0	0	-
81	홍재호	KIA	2루수	17	3	50	0	0	20	22	9	1.000	0	0	0	-
81	오재일	넥센	1루수	17	12	109	3	0	113	6	17	0.975	0	0	0	-
85	가코	삼성	1루수	16	14	114	1	0	91	10	7	0.990	0	0	0	-
85	김상현	KIA	1루수	16	16	132	2	0	139	5	10	0.986	0	0	0	-
85	김남석	LG	1루수	16	6	58 1/3	0	0	59	1	5	1.000	0	0	0	-
85	장영석	넥센	3루수	16	13	96	3	0	4	29	6	0.917	0	0	0	-
85	이여상	한화	2루수	16	6	55	2	0	12	21	3	0.943	0	0	0	-
90	권용관	SK	2루수	15	12	88	0	0	21	27	8	1.000	0	0	0	-
90	강명구	삼성	유격수	15	1	36	1	0	10	13	3	0.958	0	0	0	-
90	유한준	넥센	1루수	15	5	64 1/3	0	0	68	8	10	1.000	0	0	0	-
90	오선진	한화	유격수	15	2	38 1/3	2	0	8	13	4	0.913	0	0	0	-
90	전현태	한화	1루수	15	1	39	1	0	35	2	0	0.974	0	0	0	-
95	오재원	두산	유격수	14	11	92	0	0	13	32	8	1.000	0	0	0	-
95	최훈락	KIA	1루수	14	5	59	0	0	54	4	3	1.000	0	0	0	-
95	강병식	넥센	1루수	14	11	89 1/3	0	0	88	5	6	1.000	0	0	0	-
95	김민우	넥센	2루수	14	12	88	1	0	33	33	11	0.985	0	0	0	-
95	지석훈	넥센	유격수	14	10	86	3	0	11	32	6	0.935	0	0	0	-
100	박진만	SK	3루수	13	11	92	1	0	11	18	4	0.967	0	0	0	-
100	강명구	삼성	3루수	13	0	23	0	0	2	5	0	1.000	0	0	0	-
100	손용석	롯데	3루수	13	7	68 1/3	0	0	2	13	0	1.000	0	0	0	-
100	홍재호	KIA	3루수	13	7	56 1/3	1	0	4	9	4	0.929	0	0	0	-
104	모상기	삼성	1루수	12	4	44	0	0	28	5	1	1.000	0	0	0	-
104	백창수	LG	2루수	12	11	80	1	0	28	28	5	0.982	0	0	0	-
104	조중근	넥센	1루수	12	12	85 1/3	3	0	87	12	7	0.971	0	0	0	-
104	김회성	한화	1루수	12	0	22	0	0	17	0	3	1.000	0	0	0	-
108	김재호	두산	2루수	11	2	30 1/3	1	0	9	10	3	0.950	0	0	0	-
108	오재원	두산	3루수	11	5	46	0	0	1	8	1	1.000	0	0	0	-
108	이현곤	KIA	2루수	11	6	63	0	0	18	17	7	1.000	0	0	0	-
108	이학준	LG	2루수	11	4	43	0	0	15	16	2	1.000	0	0	0	-
112	박진만	SK	1루수	10	4	45	0	0	46	1	4	1.000	0	0	0	-
112	최윤석	SK	2루수	10	4	40	1	0	8	15	1	0.958	0	0	0	-
112	정훈	롯데	2루수	10	8	61	0	0	13	24	5	1.000	0	0	0	-
112	김경언	한화	1루수	10	0	22	0	0	15	1	1	1.000	0	0	0	-
116	양종민	롯데	2루수	9	1	25	0	0	6	6	3	1.000	0	0	0	-
116	손인호	LG	1루수	9	4	46 1/3	1	0	40	2	3	0.977	0	0	0	-
116	김민성	넥센	유격수	9	1	26	0	0	6	10	0	1.000	0	0	0	-
119	권용관	SK	3루수	8	5	48	1	0	4	11	1	0.938	0	0	0	-
119	이원석	두산	유격수	8	6	41	3	0	7	16	4	0.885	0	0	0	-
119	윤진호	LG	2루수	8	3	48	1	0	12	16	2	0.966	0	0	0	-
119	정병곤	LG	3루수	8	3	42	2	0	4	8	0	0.857	0	0	0	-
119	백승룡	한화	유격수	8	1	19 1/3	0	0	1	5	3	1.000	0	0	0	-
124	박정환	SK	1루수	7	1	19	0	0	18	2	2	1.000	0	0	0	-
124	안정광	SK	2루수	7	1	16	0	0	3	3	1	1.000	0	0	0	-
124	윤석민	두산	1루수	7	5	43	1	0	41	2	2	0.977	0	0	0	-
124	박준서	롯데	유격수	7	2	22 1/3	0	0	2	3	3	1.000	0	0	0	-
124	박진환	롯데	3루수	7	2	30	2	0	2	8	0	0.833	0	0	0	-
124	홍재호	KIA	유격수	7	0	15	0	0	5	5	1	1.000	0	0	0	-
124	서동욱	LG	3루수	7	3	39 2/3	2	0	3	8	1	0.846	0	0	0	-
124	김강	한화	1루수	7	6	40	1	0	39	3	3	0.977	0	0	0	-
132	문규현	롯데	3루수	6	0	12	0	0	1	3	0	1.000	0	0	0	-
132	박준서	롯데	3루수	6	1	19 1/3	0	0	3	9	1	1.000	0	0	0	-
132	정훈	롯데	유격수	6	3	26 2/3	2	0	5	11	2	0.889	0	0	0	-
132	이진영	LG	1루수	6	5	30 1/3	1	0	32	1	5	0.971	0	0	0	-
132	신현철	넥센	2루수	6	0	17	0	0	8	12	4	1.000	0	0	0	-
132	백승룡	한화	3루수	6	2	16	0	0	0	2	0	1.000	0	0	0	-
132	전현태	한화	3루수	6	3	21 1/3	0	0	2	6	0	1.000	0	0	0	-
132	전현태	한화	유격수	6	0	15	0	0	3	5	1	1.000	0	0	0	-
140	권용관	SK	유격수	5	1	14	0	0	1	3	2	1.000	0	0	0	-
140	홍명찬	SK	2루수	5	3	27	0	0	9	4	1	1.000	0	0	0	-
140	박준서	롯데	2루수	5	0	11	0	0	1	4	0	1.000	0	0	0	-
140	박진환	롯데	2루수	5	4	29	1	0	4	15	0	0.950	0	0	0	-
140	김남석	LG	3루수	5	0	6 2/3	0	0	0	1	0	1.000	0	0	0	-
145	박윤	SK	1루수	4	1	14	0	0	14	0	1	1.000	0	0	0	-
145	안정광	SK	3루수	4	2	26	0	0	1	2	0	1.000	0	0	0	-
145	조동찬	삼성	유격수	4	3	19	0	0	2	7	0	1.000	0	0	0	-
145	정상교	KIA	유격수	4	0	10	0	0	2	3	1	1.000	0	0	0	-
145	이학준	LG	1루수	4	0	11 2/3	1	0	14	0	3	0.933	0	0	0	-
150	김성현	SK	2루수	3	0	10	0	0	1	1	0	1.000	0	0	0	-
