순위	선수명	팀명	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF
1	이대호	롯데	0.357	133	570	493	76	176	26	1	27	285	113	0	6
2	조중근	넥센	0.327	36	117	98	14	32	5	2	3	50	16	6	0
3	안치홍	KIA	0.315	115	433	378	54	119	21	4	5	163	46	17	2
4	최정	SK	0.310	113	488	403	64	125	25	1	20	212	75	13	6
5	정근우	SK	0.307	90	385	326	60	100	19	0	6	137	40	15	2
6	최동수	SK	0.304	80	199	181	16	55	8	0	2	69	30	2	3
7	정훈	롯데	0.303	26	41	33	6	10	0	0	3	19	8	2	1
8	이범호	KIA	0.302	101	405	318	63	96	21	0	17	168	77	0	5
9	이대수	한화	0.301	122	420	366	46	110	16	3	8	156	50	14	4
10	이택근	LG	0.297	85	368	317	44	94	17	0	4	123	29	5	3
11	정성훈	LG	0.291	127	494	422	61	123	18	1	10	173	57	11	7
12	김선빈	KIA	0.290	98	412	335	58	97	12	2	4	125	47	20	5
13	황재균	롯데	0.289	117	458	398	62	115	18	4	12	177	68	3	8
14	윤석민	두산	0.287	80	188	167	18	48	8	0	4	68	19	2	0
15	김동주	두산	0.286	120	483	406	57	116	24	1	17	193	75	0	3
16	손시헌	두산	0.282	92	351	298	39	84	10	1	4	108	28	7	0
16	박종윤	롯데	0.282	111	162	149	24	42	7	0	2	55	29	2	4
18	강정호	넥센	0.282	123	504	444	53	125	22	2	9	178	63	3	5
19	최희섭	KIA	0.281	70	282	242	36	68	14	1	9	111	37	0	1
20	박진만	SK	0.280	100	340	282	42	79	18	0	6	115	39	15	4
21	김상수	삼성	0.278	128	476	406	53	113	16	4	2	143	47	15	1
22	박석민	삼성	0.278	128	537	457	74	127	24	3	15	202	86	5	3
23	오재원	두산	0.277	129	529	466	73	129	18	4	6	173	46	12	3
24	최준석	두산	0.271	124	485	421	49	114	26	0	15	185	75	2	5
25	한상훈	한화	0.269	131	485	398	49	107	12	3	3	134	39	33	2
26	서동욱	LG	0.267	112	359	303	42	81	11	1	7	115	37	12	3
27	이현곤	KIA	0.266	104	257	222	24	59	10	1	1	74	17	11	2
28	손주인	삼성	0.265	63	122	113	9	30	5	0	1	38	8	5	1
29	손용석	롯데	0.263	49	71	57	11	15	3	1	0	20	12	2	1
30	김일경	넥센	0.255	41	48	47	11	12	0	0	0	12	0	0	0
31	박병호	넥센	0.254	66	230	201	31	51	11	2	13	105	31	0	1
32	이숭용	넥센	0.253	88	172	146	7	37	7	0	0	44	12	6	1
33	이호준	SK	0.253	114	417	368	41	93	12	0	14	147	62	3	1
34	김태완	LG	0.252	76	246	202	26	51	12	0	6	81	29	10	1
35	박정권	SK	0.252	122	507	453	54	114	21	2	13	178	53	6	3
36	정상교	KIA	0.250	7	4	4	0	1	0	0	0	1	0	0	0
36	김남석	LG	0.250	25	28	24	2	6	2	0	0	8	4	0	0
36	정원석	한화	0.250	82	291	248	23	62	11	0	4	85	26	5	0
39	김민우	넥센	0.247	126	535	466	66	115	22	0	6	155	31	17	2
40	조영훈	삼성	0.245	98	280	245	33	60	11	0	6	89	34	0	3
41	최윤석	SK	0.244	82	209	156	21	38	4	1	1	47	9	14	0
41	장성호	한화	0.244	116	478	390	53	95	13	0	8	132	37	3	0
43	가코	삼성	0.243	58	220	189	21	46	8	0	1	57	28	0	4
44	조성환	롯데	0.243	117	459	407	45	99	19	0	6	136	36	10	2
45	문규현	롯데	0.242	125	379	327	40	79	13	3	2	104	39	14	3
46	양종민	롯데	0.236	58	64	55	11	13	2	0	0	15	5	4	0
47	김민성	넥센	0.236	124	373	314	37	74	10	1	4	98	23	22	2
48	오재일	넥센	0.230	46	118	100	13	23	5	0	1	31	11	1	1
49	박경수	LG	0.227	111	386	317	36	72	11	1	4	97	26	10	4
50	박기남	KIA	0.224	85	184	152	23	34	9	0	3	52	16	8	0
51	박정환	SK	0.222	9	11	9	1	2	1	0	0	3	2	0	0
51	안정광	SK	0.222	15	20	18	1	4	0	0	0	4	3	0	0
53	이여상	한화	0.222	120	372	320	31	71	15	2	3	99	38	19	5
54	지석훈	넥센	0.220	52	125	109	9	24	6	1	2	38	8	2	1
55	채태인	삼성	0.220	53	218	182	25	40	7	1	5	64	28	0	2
56	조동찬	삼성	0.216	85	235	208	27	45	7	0	4	64	25	3	3
57	이원석	두산	0.216	110	311	264	36	57	11	0	8	92	35	12	3
58	홍재호	KIA	0.213	31	53	47	6	10	1	0	1	14	3	1	0
59	오지환	LG	0.212	63	180	156	17	33	7	0	2	46	15	3	1
60	권용관	SK	0.211	28	68	57	8	12	3	1	1	20	10	4	0
61	고영민	두산	0.210	93	208	176	31	37	5	1	3	53	16	5	2
62	신명철	삼성	0.208	117	382	331	38	69	11	2	2	90	39	8	2
63	오선진	한화	0.206	68	120	107	15	22	3	0	0	25	7	3	1
64	박윤	SK	0.200	10	17	15	3	3	0	0	0	3	0	0	0
64	정병곤	LG	0.200	11	20	20	1	4	0	1	0	6	2	0	0
66	김주형	KIA	0.199	88	300	271	23	54	14	0	9	95	40	7	1
67	백창수	LG	0.194	20	40	36	4	7	1	1	0	10	3	0	0
68	모상기	삼성	0.189	32	85	74	7	14	3	0	4	29	11	0	1
69	전현태	한화	0.188	78	87	69	26	13	1	0	2	20	11	2	1
70	김연훈	SK	0.188	84	170	149	15	28	3	0	1	34	13	6	2
71	김재호	두산	0.183	57	122	109	6	20	5	1	0	27	9	2	2
72	홍명찬	SK	0.182	8	13	11	2	2	1	0	0	3	0	0	0
73	백승룡	한화	0.176	38	64	51	7	9	2	0	0	11	3	4	0
74	강명구	삼성	0.172	89	66	58	22	10	1	0	1	14	5	2	1
75	정주현	LG	0.167	15	21	18	6	3	0	0	0	3	2	0	0
76	윤진호	LG	0.159	75	99	88	11	14	4	0	0	18	2	5	0
77	김회성	한화	0.143	37	59	49	5	7	3	0	2	16	6	1	1
78	이학준	LG	0.105	33	23	19	6	2	0	1	0	4	2	1	1
78	김강	한화	0.105	8	23	19	0	2	1	0	0	3	1	0	0
80	박준서	롯데	0.100	21	23	20	2	2	1	0	0	3	2	1	0
81	박진환	롯데	0.080	11	26	25	2	2	1	0	0	3	2	1	0
82	김성현	SK	0.000	10	10	9	3	0	0	0	0	0	0	1	0
82	김정혁	삼성	0.000	3	2	2	0	0	0	0	0	0	0	0	0
82	김동길	두산	0.000	6	2	1	0	0	0	0	0	0	0	0	0
82	안동현	두산	0.000	2	2	2	0	0	0	0	0	0	0	0	0
82	오승택	롯데	0.000	1	1	1	0	0	0	0	0	0	0	0	0
82	허일	롯데	0.000	2	4	4	0	0	0	0	0	0	0	0	0
82	신현철	넥센	0.000	13	12	9	1	0	0	0	0	0	0	0	0
82	정범수	넥센	0.000	4	8	7	0	0	0	0	0	0	0	0	0
82	조평호	넥센	0.000	5	5	5	0	0	0	0	0	0	0	0	0
82	강경학	한화	0.000	2	1	1	0	0	0	0	0	0	0	0	0
82	김용호	한화	0.000	2	8	8	0	0	0	0	0	0	0	0	0
