순위	선수명	팀명	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF
1	양원혁	LG	0.500	3	2	2	2	1	0	0	0	1	1	0	0
1	이창열	한화	0.500	5	2	2	0	1	1	0	0	2	1	0	0
3	김선민	KT	0.429	23	38	35	2	15	2	0	0	17	3	0	1
4	테임즈	NC	0.381	142	595	472	130	180	42	5	47	373	140	0	7
5	조평호	NC	0.364	22	22	22	4	8	2	0	1	13	3	0	0
6	구자욱	삼성	0.349	116	465	410	97	143	33	5	11	219	57	0	4
7	채태인	삼성	0.348	104	373	333	35	116	19	0	8	159	49	0	4
8	마르테	KT	0.348	115	487	425	85	148	32	1	20	242	89	0	8
9	박병호	넥센	0.343	140	622	528	129	181	35	1	53	377	146	0	4
10	강병의	LG	0.333	8	3	3	0	1	0	0	0	1	0	0	0
10	홍명찬	SK	0.333	5	3	3	0	1	0	0	0	1	0	0	0
10	댄블랙	KT	0.333	54	225	198	25	66	10	1	12	114	32	0	0
13	이승엽	삼성	0.332	122	522	470	87	156	28	1	26	264	90	0	6
14	고영민	두산	0.328	41	77	67	13	22	1	0	3	32	11	0	1
15	한나한	LG	0.327	32	126	107	17	35	9	0	4	56	22	1	3
16	필	KIA	0.325	143	591	536	81	174	35	1	22	277	101	0	9
17	백창수	LG	0.323	25	36	31	4	10	4	0	0	14	0	2	0
18	박석민	삼성	0.321	135	559	448	90	144	25	0	26	247	116	1	8
19	허경민	두산	0.317	117	453	404	64	128	20	2	1	155	41	8	3
20	정근우	한화	0.316	126	552	468	99	148	30	2	12	218	66	13	2
21	김태균	한화	0.316	133	524	408	61	129	28	0	21	220	104	1	5
22	히메네스	LG	0.312	70	299	279	37	87	17	2	11	141	46	0	4
23	장성호	KT	0.309	49	114	94	11	29	4	0	1	36	16	0	1
24	최정민	SK	0.308	8	15	13	1	4	0	0	0	4	2	1	0
25	김재호	두산	0.307	133	488	410	63	126	24	3	3	165	50	14	7
26	최준석	롯데	0.306	144	618	507	78	155	18	1	31	268	109	1	1
27	박민우	NC	0.304	141	617	520	111	158	31	6	3	210	47	3	7
28	김민성	넥센	0.303	118	489	445	60	135	24	0	16	207	71	2	3
29	정훈	롯데	0.300	135	562	486	85	146	27	2	9	204	62	7	3
30	하주석	한화	0.300	4	11	10	3	3	0	0	0	3	1	0	0
31	서건창	넥센	0.298	85	368	312	52	93	24	4	3	134	37	11	2
32	김성현	SK	0.297	129	449	397	49	118	20	0	8	162	48	12	2
33	최정	SK	0.295	81	330	275	43	81	17	0	17	149	58	1	3
34	이호준	NC	0.294	131	518	449	48	132	25	0	24	229	110	3	2
35	윤석민	넥센	0.294	108	418	361	54	106	24	1	14	174	71	5	7
36	황재균	롯데	0.290	144	596	534	95	155	41	2	26	278	97	4	6
37	모창민	NC	0.290	103	239	214	23	62	14	0	6	94	35	4	3
38	김하성	넥센	0.290	140	582	511	89	148	35	5	19	250	73	4	6
39	오재일	두산	0.289	66	213	180	33	52	11	1	14	107	36	1	2
40	나바로	삼성	0.287	140	643	534	126	153	19	1	48	318	137	1	9
41	박경수	KT	0.284	137	537	440	75	125	30	1	22	223	73	6	4
42	정성훈	LG	0.284	117	440	363	47	103	16	1	9	148	45	6	4
43	조영훈	NC	0.282	103	146	124	20	35	8	0	8	67	35	1	2
44	최주환	두산	0.282	100	270	238	34	67	16	2	5	102	32	3	1
45	이시찬	한화	0.281	34	72	64	7	18	1	0	0	19	6	1	2
46	박정권	SK	0.281	124	494	438	66	123	23	0	21	209	70	4	2
47	박기혁	KT	0.280	126	350	300	27	84	13	1	1	102	30	16	1
48	오재원	두산	0.280	120	474	411	60	115	20	2	11	172	59	7	4
49	김상수	삼성	0.278	132	518	449	67	125	30	4	8	187	63	13	7
50	오지환	LG	0.278	138	566	497	76	138	41	4	11	220	56	3	3
51	장시윤	넥센	0.276	17	31	29	2	8	0	0	0	8	2	2	0
52	오승택	롯데	0.275	122	353	327	57	90	18	1	8	134	43	4	1
53	나성용	LG	0.274	40	79	73	7	20	2	0	3	31	9	0	0
54	오윤석	롯데	0.273	29	36	33	7	9	1	0	1	13	3	1	0
54	황대인	KIA	0.273	22	44	44	3	12	2	0	2	20	7	0	0
56	이범호	KIA	0.270	138	514	437	60	118	25	0	28	227	79	0	4
57	나주환	SK	0.268	96	273	246	31	66	15	0	5	96	22	12	1
58	황목치승	LG	0.268	24	74	71	13	19	3	1	0	24	8	0	1
59	지석훈	NC	0.267	137	466	415	53	111	15	0	11	159	46	9	3
60	김연훈	SK	0.267	49	73	60	4	16	1	0	1	20	3	5	1
61	이대수	SK	0.264	36	86	72	9	19	3	0	2	28	12	6	1
62	유민상	두산	0.263	15	45	38	5	10	1	0	1	14	6	0	1
62	박용근	KT	0.263	27	86	76	7	20	6	0	0	26	4	3	0
64	홍성흔	두산	0.262	93	352	301	39	79	12	0	7	112	46	4	0
65	김민우	KIA	0.260	90	315	269	28	70	16	1	6	106	34	21	3
66	양석환	LG	0.260	125	384	358	36	93	22	1	8	141	48	5	3
