순위	선수명	팀명	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF
1	김광연	KIA	0.625	4	8	8	2	5	0	0	0	5	0	0	0
2	백상원	삼성	0.500	5	4	4	1	2	1	0	0	3	1	0	0
2	강진성	NC	0.500	3	3	2	1	1	1	0	0	2	0	0	0
4	채태인	삼성	0.381	94	342	299	52	114	15	0	11	162	53	0	0
5	김동한	두산	0.350	26	22	20	9	7	2	1	1	14	4	0	0
6	김태균	한화	0.319	101	430	345	41	110	24	0	10	164	52	0	4
7	박석민	삼성	0.318	117	474	396	61	126	24	0	18	204	76	0	2
8	박병호	넥센	0.318	128	556	450	91	143	17	0	37	271	117	0	6
9	최정	SK	0.316	120	525	434	75	137	18	0	28	239	83	1	2
10	김재호	두산	0.315	91	286	248	42	78	10	3	1	97	32	10	2
11	이원석	두산	0.314	85	300	264	40	83	12	0	10	125	39	1	3
12	정성훈	LG	0.312	121	477	407	64	127	22	1	9	178	62	0	4
13	김선빈	KIA	0.300	88	363	310	51	93	12	0	1	108	29	8	4
13	조중근	넥센	0.300	10	10	10	0	3	0	0	0	3	2	0	0
13	장운호	한화	0.300	11	21	20	1	6	3	0	0	9	4	0	0
16	오재일	두산	0.299	55	144	117	16	35	12	0	3	56	28	1	3
17	홍성흔	두산	0.299	127	538	469	61	140	21	0	15	206	72	3	3
18	김상수	삼성	0.298	115	422	372	57	111	17	3	7	155	44	9	6
18	박준서	롯데	0.298	79	139	124	15	37	6	1	2	51	32	0	0
20	허경민	두산	0.298	75	276	228	35	68	9	1	1	82	25	7	5
21	최주환	두산	0.297	47	100	91	12	27	5	1	2	40	10	0	1
22	윤석민	두산	0.294	21	73	68	12	20	5	0	2	31	8	0	0
23	박정권	SK	0.292	110	434	363	56	106	20	1	18	182	70	0	6
24	김민우	넥센	0.292	33	55	48	5	14	1	1	0	17	11	0	1
25	강정호	넥센	0.291	126	532	450	67	131	21	1	22	220	96	2	6
26	박기남	KIA	0.287	91	214	174	35	50	11	0	4	73	21	11	2
27	홍명찬	SK	0.286	5	7	7	1	2	0	0	0	2	0	0	0
27	고영민	두산	0.286	10	17	14	3	4	1	0	1	8	1	0	0
29	김민성	넥센	0.282	128	523	458	60	129	24	2	15	202	72	3	4
30	조영훈	NC	0.282	120	426	380	38	107	26	3	6	157	39	3	2
31	정근우	SK	0.280	112	476	407	64	114	19	3	9	166	35	11	1
32	이호준	NC	0.278	126	508	442	46	123	25	1	20	210	87	0	5
33	모창민	NC	0.276	108	436	395	57	109	24	3	12	175	51	2	1
34	김용의	LG	0.276	109	348	301	42	83	6	5	5	114	34	10	3
35	황재균	롯데	0.274	128	559	489	70	134	29	3	7	190	56	7	4
36	이현곤	NC	0.273	91	161	139	10	38	7	0	0	45	9	3	0
37	김태완	삼성	0.272	83	189	162	19	44	10	0	6	72	19	0	3
38	김지수	넥센	0.271	37	60	48	9	13	2	0	0	15	3	4	1
39	최준석	두산	0.270	100	263	222	22	60	8	0	7	89	36	0	2
40	박민우	NC	0.268	32	47	41	10	11	1	0	0	12	6	0	1
41	문선재	LG	0.267	93	240	217	31	58	10	1	4	82	25	6	1
42	성의준	삼성	0.267	16	16	15	3	4	2	0	0	6	4	0	0
43	서건창	넥센	0.266	86	372	316	53	84	13	2	0	101	18	8	4
43	조평호	NC	0.266	26	86	79	12	21	6	0	2	33	7	1	0
45	장성호	롯데	0.266	83	278	241	21	64	10	1	4	88	27	0	0
46	손주인	LG	0.265	125	423	351	42	93	17	3	3	125	41	20	6
47	한상훈	한화	0.262	101	322	260	45	68	13	4	0	89	25	6	3
48	서동욱	넥센	0.261	104	265	218	27	57	12	1	6	89	21	12	2
49	송광민	한화	0.261	67	268	245	33	64	13	0	7	98	33	1	0
