순위	선수명	팀명	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF
46	지석훈	NC	0.274	114	238	212	26	58	14	4	6	98	34	3	1
47	나주환	SK	0.273	127	478	422	64	115	25	0	7	161	51	14	3
48	이호준	NC	0.271	122	500	424	59	115	20	0	23	204	78	1	5
49	조동찬	삼성	0.270	31	87	74	8	20	4	0	1	27	6	1	1
50	안태영	넥센	0.270	41	80	63	12	17	6	0	1	26	9	0	0
51	이범호	KIA	0.269	105	406	350	47	94	23	0	19	174	82	0	4
52	윤석민	넥센	0.267	99	307	281	30	75	12	0	10	117	43	4	2
53	조쉬벨	LG	0.267	63	275	240	33	64	8	1	10	104	39	0	4
53	박윤	SK	0.267	6	15	15	0	4	0	0	0	4	2	0	0
55	강한울	KIA	0.264	93	224	208	32	55	5	4	0	68	14	6	1
56	최승준	LG	0.263	20	40	38	4	10	3	0	2	19	11	0	0
57	모창민	NC	0.263	122	468	419	62	110	15	0	16	173	72	8	4
58	오지환	LG	0.262	113	464	397	72	104	20	8	8	164	56	6	3
59	신현철	SK	0.262	60	75	65	10	17	3	0	1	23	3	2	0
60	조영훈	NC	0.261	92	124	111	15	29	4	0	6	51	22	1	1
61	김재호	두산	0.252	122	421	341	50	86	14	1	3	111	54	13	11
62	김민우	KIA	0.251	87	210	167	34	42	10	0	3	61	15	6	0
63	이원석	두산	0.251	79	255	231	29	58	8	2	5	85	25	2	2
64	이성곤	두산	0.250	4	8	8	1	2	1	0	0	3	0	0	0
64	손용석	롯데	0.250	3	4	4	1	1	0	0	0	1	0	0	0
64	박진만	SK	0.250	19	35	32	3	8	1	0	0	9	2	1	0
67	허경민	두산	0.247	105	233	198	33	49	8	1	0	59	10	6	2
68	김주형	KIA	0.245	64	176	151	16	37	4	0	7	62	26	4	2
69	오승택	롯데	0.244	57	50	45	10	11	3	0	1	17	5	0	0
70	오재일	두산	0.242	75	155	132	10	32	7	0	3	48	18	0	2
71	김용의	LG	0.240	103	208	183	31	44	7	1	0	53	22	3	1
72	김회성	한화	0.236	59	162	140	21	33	8	1	6	61	18	3	1
73	박준서	롯데	0.232	74	118	99	9	23	9	1	0	34	13	1	3
74	신본기	롯데	0.230	63	130	113	20	26	6	1	4	46	13	6	2
75	박경수	LG	0.228	87	201	162	33	37	6	1	2	51	19	6	3
76	임종혁	롯데	0.222	21	25	18	3	4	0	0	0	4	1	1	0
77	강경학	한화	0.221	41	103	86	11	19	2	3	1	30	7	2	0
78	이상호	NC	0.216	96	54	51	30	11	2	0	1	16	5	0	1
79	안정광	SK	0.207	15	32	29	4	6	1	0	0	7	4	0	0
80	백창수	LG	0.202	51	96	84	15	17	2	0	1	22	10	1	1
81	오장훈	두산	0.200	1	5	5	0	1	0	0	0	1	0	0	0
82	이창열	한화	0.190	22	25	21	5	4	2	1	0	8	3	0	0
83	김하성	넥센	0.188	60	59	48	17	9	2	1	2	19	7	2	1
83	노진혁	NC	0.188	26	16	16	3	3	0	0	1	6	2	0	0
85	백상원	삼성	0.182	31	26	22	7	4	0	0	0	4	2	0	1
86	김지수	넥센	0.174	28	29	23	2	4	0	0	0	4	3	2	0
87	김영관	LG	0.167	13	7	6	2	1	0	1	0	3	1	0	0
87	김주현	롯데	0.167	9	12	12	2	2	1	0	0	3	1	0	0
89	이대수	SK	0.160	15	28	25	1	4	0	0	0	4	2	0	0
90	박기혁	롯데	0.157	22	63	51	8	8	2	0	0	10	2	2	0
91	서동욱	넥센	0.147	39	41	34	2	5	1	0	0	6	0	3	0
92	김재현	삼성	0.143	8	8	7	0	1	0	0	0	1	1	0	0
92	최영진	두산	0.143	4	7	7	1	1	0	0	0	1	1	0	0
94	조정원	한화	0.125	20	58	56	2	7	1	1	0	10	6	1	1
95	권용관	LG	0.118	8	21	17	0	2	1	0	0	3	2	2	1
96	전현태	한화	0.100	10	10	10	2	1	0	0	0	1	0	0	0
97	이현곤	NC	0.091	7	12	11	0	1	0	0	0	1	0	1	0
97	박찬호	KIA	0.091	17	23	22	3	2	1	0	0	3	0	0	0
99	고영우	KIA	0.083	21	27	24	4	2	2	0	0	4	1	0	1
100	홍명찬	SK	0.063	10	16	16	0	1	0	0	0	1	1	0	0
101	강명구	삼성	0.000	21	4	4	8	0	0	0	0	0	0	0	0
101	김정혁	삼성	0.000	2	5	5	2	0	0	0	0	0	0	0	0
101	정현	삼성	0.000	5	3	3	0	0	0	0	0	0	0	0	0
101	양종민	두산	0.000	5	4	4	0	0	0	0	0	0	0	0	0
101	유재신	넥센	0.000	23	2	2	8	0	0	0	0	0	0	0	0
101	장성호	롯데	0.000	5	5	2	0	0	0	0	0	0	0	0	0
101	조성환	롯데	0.000	6	8	7	1	0	0	0	0	0	0	0	0
101	황진수	롯데	0.000	5	5	5	0	0	0	0	0	0	0	0	0
101	조성우	SK	0.000	3	2	2	1	0	0	0	0	0	0	0	0
101	강민국	NC	0.000	6	3	3	0	0	0	0	0	0	0	0	0
101	이창섭	NC	-	1	0	0	1	0	0	0	0	0	0	0	0
101	조평호	NC	0.000	2	2	2	0	0	0	0	0	0	0	0	0
101	김광연	KIA	0.000	8	10	10	0	0	0	0	0	0	1	0	0
