순위	선수명	팀명	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF
1	윤완주	KIA	1.000	5	3	2	0	2	0	0	0	2	0	0	0
2	홍성갑	넥센	0.500	2	2	2	0	1	0	0	0	1	1	0	0
2	이창진	롯데	0.500	4	2	2	1	1	1	0	0	2	0	0	0
4	서건창	넥센	0.370	128	616	543	135	201	41	17	7	297	67	4	2
5	김태균	한화	0.365	118	508	422	66	154	30	0	18	238	84	0	5
6	강정호	넥센	0.356	117	501	418	103	149	36	2	40	309	117	0	2
7	김태완	삼성	0.347	65	108	95	14	33	7	0	2	46	15	1	0
8	테임즈	NC	0.343	125	514	443	95	152	30	6	37	305	121	0	6
9	박계현	SK	0.341	62	144	129	23	44	9	0	0	53	13	4	3
10	안치홍	KIA	0.339	126	479	434	65	147	31	2	18	236	88	2	4
11	정성훈	LG	0.329	112	455	383	71	126	25	1	13	192	59	2	4
12	황재균	롯데	0.321	128	550	486	66	156	33	3	12	231	76	4	4
13	오재원	두산	0.318	110	420	359	60	114	21	6	5	162	40	9	0
14	채태인	삼성	0.317	124	541	492	69	156	38	1	14	238	99	0	6
15	송광민	한화	0.316	103	421	389	52	123	22	2	11	182	58	4	2
16	홍성흔	두산	0.315	124	521	447	63	141	19	1	20	222	82	5	1
17	히메네스	롯데	0.315	80	303	260	42	82	15	0	14	139	61	0	1
18	박석민	삼성	0.315	110	425	356	77	112	21	0	27	214	72	0	3
19	박정권	SK	0.310	120	499	452	81	140	33	2	27	258	109	0	4
20	필	KIA	0.309	92	389	362	64	112	27	0	19	196	66	0	2
21	박종윤	롯데	0.309	123	476	440	59	136	31	4	7	196	73	4	6
22	칸투	두산	0.309	111	419	376	56	116	25	1	18	197	72	0	2
23	이승엽	삼성	0.308	127	548	506	83	156	30	0	32	282	101	0	2
24	나바로	삼성	0.308	125	602	500	118	154	27	1	31	276	98	0	5
25	최정	SK	0.305	82	361	308	65	94	20	0	14	156	76	1	3
26	황목치승	LG	0.304	37	51	46	11	14	0	1	0	16	3	4	0
27	박병호	넥센	0.303	128	571	459	126	139	16	2	52	315	124	0	4
28	임익준	한화	0.300	6	10	10	2	3	0	0	0	3	0	0	0
29	박민우	NC	0.298	118	491	416	87	124	21	9	1	166	40	4	4
30	정근우	한화	0.295	125	549	464	91	137	28	5	6	193	44	7	3
31	정훈	롯데	0.294	124	558	477	89	140	27	7	3	190	58	6	2
32	손시헌	NC	0.293	97	361	307	39	90	20	1	5	127	39	5	8
33	김민성	넥센	0.292	116	486	438	60	128	29	2	12	197	77	5	3
34	손주인	LG	0.290	120	400	341	50	99	11	0	5	125	30	17	4
34	김선빈	KIA	0.290	33	98	93	7	27	4	0	0	31	9	2	0
36	김상수	삼성	0.288	128	493	427	74	123	20	8	5	174	63	10	8
37	고영민	두산	0.287	52	108	94	18	27	2	0	1	32	7	1	2
38	박기남	KIA	0.287	90	202	171	21	49	9	0	3	67	21	5	2
39	최준석	롯데	0.286	121	460	371	54	106	13	0	23	188	90	0	6
39	이학준	한화	0.286	45	119	105	14	30	4	0	0	34	9	3	1
39	한상훈	한화	0.286	77	203	175	23	50	8	1	1	63	21	4	0
42	김성현	SK	0.284	122	476	398	73	113	20	1	5	150	43	10	6
43	문규현	롯데	0.281	77	275	235	33	66	16	0	2	88	27	12	2
44	최주환	두산	0.280	82	211	189	38	53	14	0	4	79	31	4	2
45	채은성	LG	0.277	62	197	159	18	44	11	1	1	60	15	2	5
