순위	선수명	팀명	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF
51	유민상	KT	0.282	95	254	213	30	60	12	1	4	86	37	3	4
52	김하성	넥센	0.281	144	599	526	92	148	29	7	20	251	84	2	5
53	최주환	두산	0.281	85	182	160	21	45	11	0	2	62	22	2	4
54	김주형	KIA	0.281	135	387	345	43	97	16	1	19	172	49	1	1
55	이상호	NC	0.280	15	27	25	1	7	2	0	0	9	1	0	0
56	오지환	LG	0.280	121	472	393	73	110	14	5	20	194	78	2	5
57	하주석	한화	0.279	115	441	405	58	113	21	1	10	166	57	8	1
58	신성현	한화	0.278	89	184	158	30	44	8	0	8	76	24	6	0
59	박정권	SK	0.277	125	468	422	59	117	17	3	18	194	59	2	4
60	박승욱	SK	0.276	36	103	87	19	24	4	1	3	39	13	4	1
60	양석환	LG	0.276	80	215	203	24	56	10	1	6	86	37	3	2
62	조동찬	삼성	0.275	90	282	247	32	68	11	1	10	111	36	3	3
63	박기혁	KT	0.273	117	348	308	36	84	13	0	2	103	34	10	2
64	문규현	롯데	0.272	120	368	316	38	86	10	0	4	108	40	19	2
65	강한울	KIA	0.272	104	322	298	36	81	13	3	0	100	27	9	0
66	오재원	두산	0.272	122	484	416	68	113	18	1	5	148	58	3	6
67	김상수	삼성	0.271	105	401	358	56	97	13	0	3	119	38	8	4
68	최승준	SK	0.266	76	231	199	31	53	5	0	19	115	42	0	1
69	발디리스	삼성	0.266	44	190	154	24	41	6	0	8	71	33	0	3
70	마르테	KT	0.265	91	381	325	52	86	16	0	22	168	74	0	5
71	정훈	롯데	0.262	121	439	370	48	97	18	2	2	125	46	8	2
72	최준석	롯데	0.262	116	396	325	49	85	10	0	19	152	70	0	4
73	오승택	롯데	0.260	42	135	123	17	32	6	0	3	47	7	0	0
74	김동한	롯데	0.252	78	116	107	9	27	6	0	0	33	14	3	0
75	서상우	LG	0.252	56	137	111	18	28	5	0	4	45	12	0	0
76	고영민	두산	0.250	8	5	4	1	1	1	0	0	2	1	0	0
76	홍성흔	두산	0.250	17	45	40	4	10	2	0	0	12	5	0	0
76	이성규	삼성	0.250	6	6	4	2	1	0	0	0	1	0	2	0
76	권용관	한화	0.250	40	49	44	7	11	2	1	0	15	3	1	0
76	주현상	한화	0.250	15	8	8	0	2	0	0	0	2	0	0	0
76	이여상	롯데	0.250	61	83	72	10	18	3	1	0	23	7	3	1
82	임병욱	넥센	0.249	104	265	233	43	58	11	1	8	95	24	6	0
83	손용석	롯데	0.244	51	99	90	8	22	5	0	0	27	9	2	2
84	심우준	KT	0.242	122	251	236	36	57	9	1	3	77	17	5	2
85	김정혁	삼성	0.236	46	118	106	13	25	1	1	2	34	11	1	1
86	박용근	KT	0.230	31	86	74	5	17	4	1	1	26	6	0	1
87	안치홍	KIA	0.222	10	43	36	3	8	2	0	0	10	1	1	1
87	정주현	LG	0.222	99	257	225	30	50	12	1	1	67	22	2	2
89	김선민	KT	0.220	32	63	50	7	11	0	0	0	11	2	2	0
90	지석훈	NC	0.219	141	394	351	34	77	14	0	9	118	54	6	6
91	김재현	삼성	0.218	122	215	188	25	41	7	0	0	48	14	11	1
92	김연훈	KT	0.217	103	181	166	13	36	10	0	1	49	18	5	3
93	고영우	KIA	0.214	63	81	70	18	15	3	0	0	18	4	1	0
94	남태혁	KT	0.205	16	48	44	2	9	3	0	0	12	2	0	1
95	장시윤	넥센	0.200	9	14	10	3	2	0	0	0	2	0	0	0
95	김회성	한화	0.200	28	58	45	12	9	0	0	1	12	8	0	2
95	문상철	KT	0.200	48	87	80	9	16	7	0	1	26	7	0	1
98	김태완	삼성	0.196	34	52	46	4	9	2	0	1	14	9	0	1
99	김민우	KIA	0.195	19	47	41	3	8	1	0	0	9	4	1	0
100	장영석	넥센	0.192	23	33	26	6	5	2	0	0	7	3	0	0
101	윤진호	LG	0.190	34	23	21	3	4	0	0	0	4	0	2	0
102	강승호	LG	0.184	18	41	38	4	7	3	0	0	10	3	0	1
103	임석진	SK	0.182	11	12	11	3	2	0	0	0	2	0	0	0
104	황목치승	LG	0.179	48	39	39	7	7	3	0	0	10	4	0	0
105	도태훈	NC	0.167	6	7	6	1	1	0	0	0	1	0	0	0
105	조평호	NC	0.167	3	7	6	1	1	0	0	0	1	0	0	0
105	박찬호	KIA	0.167	69	46	42	9	7	0	0	0	7	3	1	0
105	윤완주	KIA	0.167	34	34	30	5	5	0	0	1	8	2	1	1
105	김영환	KT	0.167	12	12	12	2	2	0	0	0	2	0	0	0
110	오선진	한화	0.163	57	53	43	6	7	0	0	0	7	3	3	0
111	강경학	한화	0.158	46	116	101	16	16	3	2	1	26	7	4	1
112	성의준	삼성	0.150	24	23	20	2	3	0	0	1	6	2	0	0
113	김대륙	롯데	0.143	58	59	49	5	7	1	2	0	12	5	1	1
114	강민국	NC	0.130	24	26	23	2	3	1	0	1	7	1	1	0
115	최윤석	한화	0.125	11	17	16	2	2	0	0	0	2	0	0	0
116	서예일	두산	0.105	31	21	19	3	2	0	0	0	2	0	0	0
117	박윤	넥센	0.091	7	12	11	0	1	0	0	0	1	0	0	0
118	황윤호	NC	0.083	33	12	12	7	1	0	0	0	1	2	0	0
119	홍재호	KIA	0.077	22	16	13	4	1	0	0	0	1	1	0	1
119	장준원	LG	0.077	14	15	13	2	1	0	0	0	1	0	0	0
121	정진철	두산	0.000	2	1	1	0	0	0	0	0	0	0	0	0
121	박계범	삼성	-	5	0	0	1	0	0	0	0	0	0	0	0
121	유서준	SK	0.000	8	7	7	0	0	0	0	0	0	0	0	0
121	이대수	SK	0.000	14	15	12	0	0	0	0	0	0	2	0	1
121	임익준	한화	0.000	3	2	2	0	0	0	0	0	0	0	0	0
121	최병연	KIA	0.000	12	9	8	1	0	0	0	0	0	0	0	0
121	황진수	롯데	0.000	11	10	10	2	0	0	0	0	0	0	0	0
121	김지성	LG	0.000	2	3	3	0	0	0	0	0	0	0	0	0
121	박성준	LG	0.000	1	1	1	0	0	0	0	0	0	0	0	0
121	정주후	KT	0.000	12	3	3	4	0	0	0	0	0	0	0	0
