순위	선수명	팀명	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF
35	고영민	두산	0.265	58	173	151	33	40	10	1	3	61	26	5	0
36	장성호	한화	0.263	130	501	429	57	113	28	0	9	168	52	1	2
37	오선진	한화	0.263	110	446	399	33	105	18	3	3	138	41	13	2
38	박종윤	롯데	0.257	121	459	416	41	107	19	4	9	161	47	15	1
39	박정권	SK	0.255	122	472	416	61	106	18	1	12	162	59	6	3
40	박기남	KIA	0.253	99	274	225	28	57	16	0	2	79	25	13	4
41	최희섭	KIA	0.252	80	301	246	31	62	17	0	7	100	42	0	3
42	모창민	SK	0.250	15	36	32	7	8	2	0	1	13	2	2	0
42	양종민	롯데	0.250	2	4	4	0	1	0	0	0	1	1	0	0
42	최준석	두산	0.250	89	278	248	15	62	3	1	6	85	30	2	1
42	차화준	넥센	0.250	8	4	4	1	1	0	0	0	1	0	0	0
46	오지환	LG	0.249	133	540	462	66	115	22	2	12	177	53	9	8
47	김용의	LG	0.247	83	219	194	22	48	4	0	2	58	21	5	3
48	손주인	삼성	0.247	96	167	146	11	36	6	2	0	46	17	7	1
49	손시헌	두산	0.246	86	312	272	24	67	11	1	5	95	31	11	4
50	최영진	LG	0.241	43	87	79	9	19	4	0	0	23	7	2	1
51	김성현	SK	0.239	88	191	163	28	39	8	3	2	59	14	11	0
52	이여상	한화	0.236	86	211	182	18	43	7	0	3	59	19	12	0
53	유재신	넥센	0.235	58	96	85	14	20	2	2	0	26	7	4	1
54	권영준	롯데	0.231	11	14	13	2	3	0	0	0	3	0	0	0
54	백승룡	한화	0.231	33	62	52	3	12	1	0	0	13	3	1	0
54	신현철	넥센	0.231	11	26	26	2	6	2	0	0	8	3	0	0
57	최윤석	SK	0.229	109	213	170	17	39	1	0	1	43	15	7	1
58	김민우	넥센	0.228	69	230	197	20	45	6	2	5	70	25	6	2
59	한상훈	한화	0.224	112	344	272	41	61	11	1	3	83	29	17	1
60	김태완	LG	0.220	58	168	141	16	31	5	0	2	42	14	7	1
61	김일경	LG	0.220	44	94	82	10	18	2	0	1	23	12	3	0
62	서동욱	LG	0.216	103	324	273	32	59	9	3	0	74	17	10	2
63	김재호	두산	0.215	84	200	177	23	38	2	2	0	44	11	5	0
64	박진만	SK	0.210	57	161	138	12	29	7	1	5	53	19	8	1
65	신명철	삼성	0.210	44	112	100	9	21	2	1	2	31	7	4	0
66	채태인	삼성	0.207	54	159	135	15	28	7	0	1	38	9	0	1
67	문규현	롯데	0.205	105	277	244	17	50	10	0	0	60	17	14	2
68	오재일	두산	0.203	87	228	212	16	43	8	0	8	75	25	2	4
69	권용관	SK	0.200	3	5	5	1	1	0	0	0	1	0	0	0
69	정훈	롯데	0.200	78	137	125	12	25	4	1	2	37	12	8	1
69	이현곤	KIA	0.200	6	6	5	0	1	0	0	0	1	0	0	0
69	조영훈	KIA	0.200	89	262	230	30	46	7	1	6	73	36	5	3
73	이학준	한화	0.195	60	47	41	16	8	1	0	0	9	4	2	1
74	홍재호	KIA	0.185	55	107	92	13	17	3	0	1	23	6	4	0
75	박윤	SK	0.176	7	20	17	0	3	1	0	0	4	2	2	1
76	하주석	한화	0.173	70	141	127	10	22	1	0	1	26	4	5	0
77	지석훈	넥센	0.173	61	121	104	11	18	4	1	1	27	11	3	0
78	김상호	롯데	0.167	8	15	12	1	2	0	0	0	2	0	0	0
79	김주형	KIA	0.154	56	129	117	8	18	2	0	3	29	12	3	2
80	황정립	KIA	0.149	18	57	47	4	7	0	0	1	10	5	0	0
81	조중근	넥센	0.137	45	112	95	3	13	0	0	1	16	5	4	2
82	한윤섭	한화	0.118	23	20	17	7	2	0	0	0	2	1	0	1
83	황진수	롯데	0.111	28	20	18	2	2	1	0	0	3	0	1	0
83	오장훈	두산	0.111	10	19	18	0	2	1	0	0	3	0	0	0
85	신본기	롯데	0.105	50	67	57	9	6	0	0	0	6	3	0	0
86	강명구	삼성	0.100	72	11	10	16	1	0	0	0	1	0	0	0
87	김재율	LG	0.083	19	41	36	3	3	0	0	1	6	5	0	1
87	윤진호	LG	0.083	22	13	12	3	1	0	0	0	1	0	0	0
89	김영관	LG	0.077	6	14	13	0	1	0	0	0	1	2	0	0
90	모상기	삼성	0.063	18	17	16	0	1	0	0	0	1	0	0	0
91	김경모	삼성	0.000	9	4	4	2	0	0	0	0	0	0	0	0
91	김영훈	삼성	-	2	0	0	0	0	0	0	0	0	0	0	0
91	성의준	삼성	0.000	2	2	2	0	0	0	0	0	0	0	0	0
91	권영진	SK	0.000	2	3	3	0	0	0	0	0	0	0	0	0
91	박승욱	SK	0.000	1	2	2	0	0	0	0	0	0	0	0	0
91	최정민	SK	0.000	2	1	1	2	0	0	0	0	0	0	0	0
91	김대우	롯데	0.000	6	7	7	1	0	0	0	0	0	0	0	0
91	정상교	KIA	0.000	5	1	1	0	0	0	0	0	0	0	0	0
91	국해성	두산	0.000	3	6	6	0	0	0	0	0	0	0	0	0
91	임익준	한화	0.000	10	5	5	1	0	0	0	0	0	0	0	0
91	전현태	한화	0.000	2	6	4	1	0	0	0	0	0	0	1	0
91	정원석	한화	0.000	7	5	2	1	0	0	0	0	0	0	0	0
91	김남형	넥센	0.000	6	5	5	0	0	0	0	0	0	0	0	0
91	장영석	넥센	0.000	7	13	12	0	0	0	0	0	0	0	0	0
