순위	선수명	팀명	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF
1	류지혁	두산	1.000	2	1	1	0	1	0	0	0	1	0	0	0
2	홍명찬	SK	0.400	5	5	5	0	2	0	0	0	2	1	0	0
3	김동한	두산	0.375	10	8	8	3	3	0	0	0	3	0	0	0
4	김태균	한화	0.363	126	513	416	61	151	24	0	16	223	80	0	5
5	이병규	LG	0.318	69	270	223	23	71	17	0	2	94	21	1	0
6	강정호	넥센	0.314	124	519	436	77	137	32	0	25	244	82	1	5
7	박석민	삼성	0.312	127	549	443	79	138	19	3	23	232	91	2	5
8	정성훈	LG	0.310	107	438	365	50	113	27	3	12	182	53	2	5
9	이승엽	삼성	0.307	126	556	488	84	150	28	2	21	245	85	1	4
10	이호준	SK	0.300	127	504	426	55	128	26	0	18	208	78	0	1
11	최정	SK	0.300	130	553	474	85	142	33	1	26	255	84	3	6
12	이범호	KIA	0.293	42	171	140	13	41	7	0	2	54	19	0	3
13	김동주	두산	0.291	66	245	223	18	65	5	0	2	76	27	0	4
14	윤석민	두산	0.291	109	320	289	25	84	9	2	10	127	48	3	8
15	박병호	넥센	0.290	133	560	469	76	136	34	0	31	263	105	0	7
16	안치홍	KIA	0.288	132	558	489	60	141	31	2	3	185	64	14	7
17	조동찬	삼성	0.285	94	313	270	40	77	15	2	6	114	39	6	2
18	김민성	넥센	0.283	71	254	219	24	62	9	0	4	83	22	8	4
19	오재원	두산	0.282	77	213	188	29	53	7	3	0	66	17	6	2
20	김선빈	KIA	0.281	126	532	441	63	124	19	2	5	162	55	25	6
21	이대수	한화	0.279	118	425	376	36	105	23	4	4	148	48	14	5
22	조성환	롯데	0.278	103	390	345	40	96	14	0	3	119	33	14	2
23	최동수	LG	0.278	94	287	252	20	70	8	0	1	81	37	1	5
24	박준서	롯데	0.275	87	207	182	21	50	9	3	2	71	12	12	1
25	김상수	삼성	0.274	129	489	419	64	115	18	4	2	147	36	16	6
26	황재균	롯데	0.272	133	504	448	42	122	19	1	4	155	51	11	2
27	최주환	두산	0.271	81	238	210	29	57	11	2	2	78	22	6	1
28	이원석	두산	0.268	107	372	325	36	87	13	2	8	128	42	10	2
29	안정광	SK	0.267	6	16	15	1	4	1	0	0	5	0	0	0
29	윤완주	KIA	0.267	68	101	90	17	24	2	0	0	26	6	3	0
31	허경민	두산	0.266	92	173	154	28	41	8	0	0	49	14	6	1
32	손용석	롯데	0.266	43	70	64	3	17	2	0	0	19	5	0	0
33	서건창	넥센	0.266	127	501	433	70	115	21	10	1	159	40	13	3
34	정근우	SK	0.266	127	534	467	53	124	13	4	8	169	46	12	2
