순위	선수	구단	포지션	총점	평균	1G최고	1G최저	최근경기	홈평균	원정-평균	승리경기-평균	패배경기-평균	최근5G-평균	최근10G-평균	가성비
41	최윤석	한화	SS	0	0	16	-16	0	-2	5	5	-0.8	1.4	0	0
41	김선민	KT	SS	0	0	0	0	0	0	0	0	0	0	0	0
41	김성현	키움	SS	0	0	0	0	0	0	0	0	0	0	0	0
41	권용관	한화	SS	0	0	0	0	0	0	0	0	0	0	0	0
41	박기혁	KT	SS	0	0	0	0	0	0	0	0	0	0	0	0
41	김대륙	질롱	3B	0	0	0	0	0	0	0	0	0	0	0	0
41	박성한	SK	SS	0	0	0	0	0	0	0	0	0	0	0	0
41	최승민	삼성	SS	0	0	0	0	0	0	0	0	0	0	0	0
56	박민석	KT	SS	-4	-1.3	0	-4	0	0	-2	0	-1.3	-0.8	-0.4	-0.1
57	김재현	삼성	SS	-8	-1.3	5	-13	0	0	-2.7	2.5	-3.3	-1.6	-0.8	-0.1
58	서예일	두산	2B	-12	-1.7	0	-12	0	0	-3	-2.4	0	-2.4	-1.2	-0.4
59	신용수	롯데	SS	-30	-1.8	76	-23	-22	1	-4.9	19.3	-8.2	-12.2	-5.9	-1.1
60	홍재호	KIA	2B	-40	-4	10	-26	0	-6.5	-3.4	-5.8	-4.5	-0.8	-4	-1.1
61	박한결	한화	SS	-44	-4.9	2	-18	0	-5.4	-4.3	-3.7	-5.5	-5.4	-4.4	-1.6
62	김호재	삼성	SS	-47	-1.7	24	-17	0	-1.6	-1.8	-0.9	-2.4	-0.8	-3.1	-1.7
63	최경모	SK	SS	-49	-2.9	22	-18	0	-3.4	-2.7	-5	0.1	2.8	-1.6	-1.8
64	고명성	KT	SS	-72	-2.4	11	-28	0	-5.2	-0.2	-1.3	-3.1	-1.6	-1.4	-2.7
65	정현	SK	SS	-115	-4.3	24	-31	0	-6.1	-2.6	-4.5	-3.1	-2.2	-4.4	-2.4
