,순위,선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
0,1,김상수,삼성,유격수,128,127,1099.6666666666667,14,0,183,318,65,0.973,0,0,0,-
1,1,황재균,롯데,3루수,128,127,1091.6666666666667,16,0,89,226,25,0.952,0,0,0,-
2,3,나주환,SK,2루수,127,120,1036.6666666666667,10,0,225,343,93,0.983,0,0,0,-
3,4,서건창,넥센,2루수,125,125,1077.6666666666667,7,0,251,373,88,0.989,0,0,0,-
4,5,나바로,삼성,2루수,124,123,1054.3333333333333,11,0,239,298,66,0.98,0,0,0,-
5,5,정훈,롯데,2루수,124,117,1018.6666666666666,13,0,240,342,83,0.978,0,0,0,-
6,7,안치홍,KIA,2루수,123,116,969.6666666666666,9,0,229,313,79,0.984,0,0,0,-
7,7,정근우,한화,2루수,123,119,1019.6666666666666,12,0,263,359,91,0.981,0,0,0,-
8,9,김성현,SK,유격수,122,117,1008.3333333333334,17,0,164,329,72,0.967,0,0,0,-
9,10,김재호,두산,유격수,121,113,937.3333333333334,11,0,170,326,57,0.978,0,0,0,-
10,11,모창민,NC,3루수,118,116,941.6666666666666,10,0,61,211,21,0.965,0,0,0,-
11,11,테임즈,NC,1루수,118,117,929.0,13,0,913,71,92,0.987,0,0,0,-
12,13,채태인,삼성,1루수,115,112,953.0,2,0,833,61,76,0.998,0,0,0,-
13,13,박병호,넥센,1루수,115,115,979.0,4,0,922,85,101,0.996,0,0,0,-
14,13,박민우,NC,2루수,115,109,882.3333333333334,10,0,239,291,68,0.981,0,0,0,-
15,13,김태균,한화,1루수,115,115,959.0,3,0,903,87,91,0.997,0,0,0,-
16,17,강정호,넥센,유격수,113,113,942.3333333333334,9,0,180,280,71,0.981,0,0,0,-
17,18,오지환,LG,유격수,112,104,931.3333333333334,20,0,180,336,71,0.963,0,0,0,-
18,19,박정권,SK,1루수,107,106,912.3333333333334,5,0,878,83,97,0.995,0,0,0,-
19,20,박석민,삼성,3루수,103,96,804.6666666666666,12,0,46,162,14,0.945,0,0,0,-
20,20,박종윤,롯데,1루수,103,82,737.3333333333334,3,0,787,46,77,0.996,0,0,0,-
21,22,김민성,넥센,3루수,102,101,855.0,7,0,70,180,15,0.973,0,0,0,-
22,23,정성훈,LG,1루수,99,97,782.0,5,0,770,60,74,0.994,0,0,0,-
23,24,오재원,두산,2루수,98,91,685.6666666666666,7,0,164,228,50,0.982,0,0,0,-
24,25,손시헌,NC,유격수,97,95,760.6666666666666,6,0,144,260,59,0.985,0,0,0,-
25,26,칸투,두산,1루수,93,92,676.3333333333334,7,0,624,52,53,0.99,0,0,0,-
26,27,이범호,KIA,3루수,91,87,683.6666666666666,9,0,41,150,21,0.955,0,0,0,-
27,28,필,KIA,1루수,87,80,701.6666666666666,6,0,671,79,66,0.992,0,0,0,-
28,29,송광민,한화,3루수,82,74,618.3333333333334,13,0,54,144,24,0.938,0,0,0,-
29,30,최정,SK,3루수,80,80,676.6666666666666,12,0,57,161,23,0.948,0,0,0,-
30,30,강한울,KIA,유격수,80,55,493.6666666666667,11,0,101,158,35,0.959,0,0,0,-
31,32,문규현,롯데,유격수,77,76,597.0,7,0,107,224,49,0.979,0,0,0,-
32,33,이원석,두산,3루수,75,64,532.6666666666666,6,0,31,106,9,0.958,0,0,0,-
33,34,손주인,LG,2루수,73,60,504.3333333333333,7,0,117,162,36,0.976,0,0,0,-
34,35,박경수,LG,2루수,66,39,359.3333333333333,9,0,87,121,30,0.959,0,0,0,-
35,36,조쉬벨,LG,3루수,63,61,534.6666666666666,5,0,39,115,9,0.969,0,0,0,-
36,37,지석훈,NC,유격수,62,30,284.0,4,0,49,93,17,0.973,0,0,0,-
37,38,오재일,두산,1루수,59,26,306.6666666666667,4,0,272,21,24,0.987,0,0,0,-
38,38,조영훈,NC,1루수,59,10,200.66666666666666,3,0,171,24,20,0.985,0,0,0,-
39,40,한상훈,한화,유격수,56,40,338.3333333333333,4,0,69,112,27,0.978,0,0,0,-
40,41,신본기,롯데,유격수,55,30,304.3333333333333,4,0,60,104,23,0.976,0,0,0,-
41,42,김회성,한화,3루수,53,35,327.3333333333333,4,0,26,62,10,0.957,0,0,0,-
42,43,박기남,KIA,3루수,52,24,242.33333333333334,4,0,14,63,9,0.951,0,0,0,-
43,44,허경민,두산,유격수,47,14,162.33333333333334,1,0,33,55,13,0.989,0,0,0,-
44,44,손주인,LG,3루수,47,45,368.6666666666667,4,0,29,89,12,0.967,0,0,0,-
45,44,지석훈,NC,2루수,47,18,202.0,1,0,43,79,22,0.992,0,0,0,-
46,47,최주환,두산,3루수,46,31,272.3333333333333,2,0,20,43,5,0.969,0,0,0,-
47,48,김용의,LG,2루수,45,21,192.33333333333334,3,0,50,68,19,0.975,0,0,0,-
48,49,김민우,KIA,유격수,43,30,249.33333333333334,5,0,43,62,19,0.955,0,0,0,-
49,50,고영민,두산,2루수,41,18,202.66666666666666,2,0,48,52,9,0.98,0,0,0,-
50,51,김용의,LG,1루수,40,5,132.33333333333334,0,0,132,13,12,1.0,0,0,0,-
