,순위,선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
51,51,윤석민,넥센,3루수,40,27,267.3333333333333,3,0,16,53,5,0.958,0,0,0,-
52,51,강경학,한화,유격수,40,35,262.0,6,0,53,86,19,0.959,0,0,0,-
53,54,송광민,한화,유격수,37,23,214.66666666666666,10,0,47,57,13,0.912,0,0,0,-
54,55,히메네스,롯데,1루수,36,36,283.0,6,0,309,13,29,0.982,0,0,0,-
55,55,김민우,KIA,1루수,36,16,157.66666666666666,2,0,145,10,19,0.987,0,0,0,-
56,55,이학준,한화,유격수,36,12,152.33333333333334,3,0,22,37,4,0.952,0,0,0,-
57,58,허경민,두산,3루수,34,24,224.0,2,0,17,63,0,0.976,0,0,0,-
58,58,박계현,SK,3루수,34,27,230.0,6,0,12,56,10,0.919,0,0,0,-
59,58,김주형,KIA,1루수,34,22,187.0,3,0,180,17,17,0.985,0,0,0,-
60,61,김선빈,KIA,유격수,32,29,225.0,1,0,41,78,15,0.992,0,0,0,-
61,62,김태완,삼성,3루수,29,10,130.0,0,0,6,23,2,1.0,0,0,0,-
62,62,최주환,두산,2루수,29,11,126.33333333333333,1,0,31,41,11,0.986,0,0,0,-
63,64,허경민,두산,2루수,28,8,102.0,0,0,27,31,10,1.0,0,0,0,-
64,64,김하성,넥센,유격수,28,8,112.33333333333333,1,0,23,43,11,0.985,0,0,0,-
65,66,조동찬,삼성,3루수,27,20,169.66666666666666,2,0,16,23,3,0.951,0,0,0,-
66,67,오승택,롯데,유격수,26,5,79.0,3,0,11,24,5,0.921,0,0,0,-
67,67,이상호,NC,3루수,26,1,56.666666666666664,1,0,3,11,1,0.933,0,0,0,-
68,67,김주형,KIA,3루수,26,16,168.0,1,0,14,42,6,0.982,0,0,0,-
69,70,박해민,삼성,1루수,25,8,112.0,3,0,65,6,8,0.959,0,0,0,-
70,70,오재원,두산,1루수,25,5,79.66666666666667,0,0,81,4,10,1.0,0,0,0,-
71,70,한동민,SK,1루수,25,15,142.66666666666666,1,0,140,16,14,0.994,0,0,0,-
72,70,지석훈,NC,3루수,25,8,102.33333333333333,0,0,6,24,4,1.0,0,0,0,-
73,74,김태완,한화,1루수,24,11,136.0,1,0,113,12,15,0.992,0,0,0,-
74,75,노진혁,NC,유격수,23,2,54.333333333333336,0,0,12,12,2,1.0,0,0,0,-
75,76,박기혁,롯데,유격수,22,17,145.0,2,0,24,54,9,0.975,0,0,0,-
76,76,박준서,롯데,2루수,22,9,89.0,1,0,17,43,12,0.984,0,0,0,-
77,76,신현철,SK,3루수,22,4,64.0,3,0,5,10,1,0.833,0,0,0,-
78,76,신현철,SK,유격수,22,7,85.66666666666667,5,0,15,26,5,0.891,0,0,0,-
79,76,이상호,NC,2루수,22,1,50.333333333333336,0,0,7,10,2,1.0,0,0,0,-
80,81,박준서,롯데,1루수,20,5,68.0,1,0,73,9,6,0.988,0,0,0,-
81,81,박기남,KIA,2루수,20,10,83.33333333333333,0,0,26,24,11,1.0,0,0,0,-
82,83,고영우,KIA,유격수,19,6,64.33333333333333,4,0,12,24,5,0.9,0,0,0,-
83,84,조정원,한화,유격수,18,16,131.0,5,0,23,33,8,0.918,0,0,0,-
84,85,채은성,LG,1루수,17,12,110.0,1,0,107,3,14,0.991,0,0,0,-
85,85,윤석민,넥센,1루수,17,12,104.0,0,0,97,10,5,1.0,0,0,0,-
86,85,이창열,한화,3루수,17,4,54.333333333333336,0,0,1,7,1,1.0,0,0,0,-
87,88,김용의,LG,3루수,16,13,110.0,3,0,9,16,1,0.893,0,0,0,-
88,88,황목치승,LG,2루수,16,4,53.666666666666664,1,0,14,22,5,0.973,0,0,0,-
89,88,박찬호,KIA,유격수,16,8,68.33333333333333,1,0,10,17,1,0.964,0,0,0,-
90,91,김태완,삼성,2루수,15,4,49.666666666666664,0,0,12,12,4,1.0,0,0,0,-
91,91,이병규,LG,1루수,15,7,67.0,1,0,68,2,8,0.986,0,0,0,-
92,93,백창수,LG,3루수,14,8,79.33333333333333,1,0,3,21,3,0.96,0,0,0,-
93,93,김지수,넥센,유격수,14,6,60.0,1,0,9,22,2,0.969,0,0,0,-
94,93,박계현,SK,2루수,14,5,40.666666666666664,0,0,11,17,3,1.0,0,0,0,-
95,93,이상호,NC,유격수,14,1,31.333333333333332,0,0,3,6,2,1.0,0,0,0,-
96,97,서동욱,넥센,1루수,13,0,19.666666666666668,0,0,21,2,2,1.0,0,0,0,-
97,97,이학준,한화,3루수,13,9,72.0,1,0,6,13,1,0.95,0,0,0,-
98,97,한상훈,한화,2루수,13,5,54.333333333333336,1,0,12,21,4,0.971,0,0,0,-
99,100,황목치승,LG,유격수,12,8,66.0,3,0,16,26,7,0.933,0,0,0,-
100,100,신현철,SK,2루수,12,2,41.0,0,0,14,11,3,1.0,0,0,0,-
101,100,강한울,KIA,2루수,12,1,34.666666666666664,0,0,7,14,4,1.0,0,0,0,-
102,100,김민우,KIA,2루수,12,1,23.0,0,0,9,6,1,1.0,0,0,0,-
103,104,나바로,삼성,유격수,11,1,22.0,0,0,2,6,3,1.0,0,0,0,-
104,104,백상원,삼성,2루수,11,0,14.0,2,0,3,4,1,0.778,0,0,0,-
105,104,김진형,두산,3루수,11,3,38.333333333333336,2,0,3,5,1,0.8,0,0,0,-
106,104,김주찬,KIA,1루수,11,8,62.333333333333336,2,0,69,6,7,0.974,0,0,0,-
107,108,오재원,두산,3루수,10,5,41.333333333333336,0,0,5,6,1,1.0,0,0,0,-
108,108,김영관,LG,3루수,10,0,17.0,1,0,0,7,0,0.875,0,0,0,-
109,108,박경수,LG,유격수,10,7,53.0,1,0,4,20,0,0.96,0,0,0,-
110,111,박진만,SK,유격수,9,4,35.333333333333336,0,0,3,16,1,1.0,0,0,0,-
111,111,안정광,SK,3루수,9,8,62.666666666666664,0,0,4,19,1,1.0,0,0,0,-
112,111,임훈,SK,1루수,9,3,33.666666666666664,0,0,33,3,1,1.0,0,0,0,-
113,111,김민우,KIA,3루수,9,0,17.333333333333332,1,0,0,2,0,0.667,0,0,0,-
114,115,이승엽,삼성,1루수,8,7,66.0,0,0,55,7,3,1.0,0,0,0,-
115,115,권용관,LG,유격수,8,6,51.0,1,0,5,18,0,0.958,0,0,0,-
116,115,최승준,LG,1루수,8,7,37.333333333333336,0,0,43,3,4,1.0,0,0,0,-
117,115,이대수,SK,3루수,8,3,41.0,0,0,3,16,2,1.0,0,0,0,-
118,119,강명구,삼성,2루수,7,0,11.0,0,0,1,2,1,1.0,0,0,0,-
119,119,문선재,LG,1루수,7,0,10.0,0,0,11,1,2,1.0,0,0,0,-
120,119,박용근,LG,유격수,7,3,29.333333333333332,0,0,4,9,2,1.0,0,0,0,-
121,119,황목치승,LG,3루수,7,0,13.0,0,0,3,3,0,1.0,0,0,0,-
122,119,오승택,롯데,3루수,7,1,16.0,0,0,2,5,0,1.0,0,0,0,-
123,119,최준석,롯데,1루수,7,5,41.0,0,0,33,4,6,1.0,0,0,0,-
124,119,박진만,SK,3루수,7,4,41.0,0,0,7,9,2,1.0,0,0,0,-
125,126,김재현,삼성,유격수,6,0,11.0,0,0,1,4,0,1.0,0,0,0,-
126,126,백창수,LG,2루수,6,1,14.0,0,0,5,4,1,1.0,0,0,0,-
127,126,김하성,넥센,2루수,6,1,15.0,0,0,2,5,1,1.0,0,0,0,-
128,126,안태영,넥센,1루수,6,0,13.0,0,0,18,3,3,1.0,0,0,0,-
129,126,신본기,롯데,3루수,6,0,8.666666666666666,0,0,0,2,0,1.0,0,0,0,-
130,126,이현곤,NC,3루수,6,3,34.0,0,0,4,8,1,1.0,0,0,0,-
131,126,김경언,한화,1루수,6,2,28.666666666666668,0,0,20,5,1,1.0,0,0,0,-
132,126,이학준,한화,2루수,6,1,17.0,2,0,2,6,1,0.8,0,0,0,-
133,134,박석민,삼성,1루수,5,0,12.0,0,0,9,1,0,1.0,0,0,0,-
134,134,박용근,LG,3루수,5,1,13.0,1,0,2,2,0,0.8,0,0,0,-
135,134,김지수,넥센,2루수,5,0,8.0,0,0,1,2,1,1.0,0,0,0,-
136,134,박윤,SK,1루수,5,4,37.0,0,0,34,6,5,1.0,0,0,0,-
137,134,이대수,SK,유격수,5,1,17.0,0,0,3,6,2,1.0,0,0,0,-
138,134,홍명찬,SK,3루수,5,2,29.0,0,0,0,7,0,1.0,0,0,0,-
139,134,박기남,KIA,유격수,5,0,19.0,1,0,0,8,1,0.889,0,0,0,-
140,141,백상원,삼성,유격수,4,0,6.333333333333333,0,0,0,4,1,1.0,0,0,0,-
141,141,조동찬,삼성,2루수,4,1,12.0,0,0,4,3,4,1.0,0,0,0,-
142,141,김재환,두산,1루수,4,4,35.333333333333336,0,0,34,3,5,1.0,0,0,0,-
143,141,김진형,두산,1루수,4,0,11.666666666666666,0,0,11,1,0,1.0,0,0,0,-
144,141,오재원,두산,유격수,4,0,11.0,0,0,3,3,0,1.0,0,0,0,-
145,141,정성훈,LG,3루수,4,0,5.0,0,0,0,2,0,1.0,0,0,0,-
146,141,김민성,넥센,2루수,4,1,16.0,0,0,2,7,2,1.0,0,0,0,-
147,141,서동욱,넥센,2루수,4,1,15.0,0,0,3,6,2,1.0,0,0,0,-
148,141,강민국,NC,유격수,4,0,5.333333333333333,2,0,3,1,1,0.667,0,0,0,-
149,141,임익준,한화,2루수,4,1,12.0,1,0,2,5,0,0.875,0,0,0,-
