순위	선수명	팀명	POS	G	GS	IP	E	PKO	PO	A	DP	FPCT	PB	SB	CS	CS%
1	황재균	롯데	3루수	128	126	1112 2/3	18	0	92	232	27	0.947	0	0	0	-
2	강정호	넥센	유격수	124	122	1071 2/3	15	0	226	380	98	0.976	0	0	0	-
2	오지환	LG	유격수	124	113	1007 2/3	20	0	204	408	105	0.968	0	0	0	-
4	김민성	넥센	3루수	123	121	1043	13	0	83	229	24	0.960	0	0	0	-
5	손주인	LG	2루수	121	109	920 2/3	8	0	220	327	101	0.986	0	0	0	-
6	최정	SK	3루수	119	118	1020 2/3	19	0	80	222	21	0.941	0	0	0	-
6	박병호	넥센	1루수	119	118	1011	5	0	982	80	110	0.995	0	0	0	-
8	안치홍	KIA	2루수	116	113	986 1/3	8	0	234	344	67	0.986	0	0	0	-
8	노진혁	NC	유격수	116	100	867 1/3	10	0	144	283	69	0.977	0	0	0	-
10	김상수	삼성	유격수	115	114	974 1/3	16	0	165	297	54	0.967	0	0	0	-
10	정성훈	LG	3루수	115	109	909 1/3	14	0	68	187	24	0.948	0	0	0	-
12	박종윤	롯데	1루수	111	98	876 1/3	4	0	881	74	63	0.996	0	0	0	-
13	조영훈	NC	1루수	110	101	865 1/3	5	0	865	70	90	0.995	0	0	0	-
14	박석민	삼성	3루수	106	102	869 1/3	10	0	59	180	24	0.960	0	0	0	-
14	정근우	SK	2루수	106	105	878 2/3	6	0	253	284	81	0.989	0	0	0	-
16	정훈	롯데	2루수	104	91	816 1/3	9	0	202	265	57	0.981	0	0	0	-
16	이범호	KIA	3루수	104	104	826	3	0	63	176	18	0.988	0	0	0	-
18	모창민	NC	3루수	97	96	775 1/3	8	0	52	191	14	0.968	0	0	0	-
19	박정권	SK	1루수	96	85	749	2	0	737	58	73	0.997	0	0	0	-
20	신본기	롯데	유격수	95	75	653	10	0	126	216	34	0.972	0	0	0	-
20	한상훈	한화	2루수	95	77	637	4	0	159	223	42	0.990	0	0	0	-
20	지석훈	NC	2루수	95	82	695 1/3	6	0	157	228	57	0.985	0	0	0	-
23	손시헌	두산	유격수	92	63	586 2/3	4	0	109	219	50	0.988	0	0	0	-
24	박진만	SK	유격수	87	78	585 1/3	8	0	95	213	52	0.975	0	0	0	-
24	김선빈	KIA	유격수	87	86	714	9	0	115	213	45	0.973	0	0	0	-
26	서건창	넥센	2루수	86	81	698	4	0	174	248	60	0.991	0	0	0	-
26	김용의	LG	1루수	86	58	556	1	0	578	46	64	0.998	0	0	0	-
28	이원석	두산	3루수	82	69	646	7	0	54	116	8	0.960	0	0	0	-
29	김성현	SK	유격수	72	27	345 1/3	2	0	55	102	16	0.987	0	0	0	-
30	채태인	삼성	1루수	71	62	551	6	0	528	33	42	0.989	0	0	0	-
30	김주형	KIA	1루수	71	61	545	5	0	524	37	46	0.991	0	0	0	-
30	김태균	한화	1루수	71	71	587 2/3	1	0	544	48	47	0.998	0	0	0	-
33	김재호	두산	유격수	70	56	474 1/3	3	0	86	167	36	0.988	0	0	0	-
33	오선진	한화	3루수	70	57	516	4	0	45	101	13	0.973	0	0	0	-
35	문규현	롯데	유격수	68	29	292 2/3	8	0	50	111	20	0.953	0	0	0	-
36	송광민	한화	유격수	67	66	554	6	0	88	176	32	0.978	0	0	0	-
37	오재원	두산	2루수	66	49	420 2/3	2	0	106	129	32	0.992	0	0	0	-
37	최준석	두산	1루수	66	57	406	1	0	389	31	45	0.998	0	0	0	-
39	문선재	LG	1루수	64	47	389	4	0	392	30	52	0.991	0	0	0	-
39	이대수	한화	유격수	64	58	455 2/3	3	0	73	157	17	0.987	0	0	0	-
41	이현곤	NC	3루수	63	23	276 2/3	3	0	24	50	3	0.961	0	0	0	-
42	박기남	KIA	3루수	61	16	220 1/3	3	0	22	24	1	0.939	0	0	0	-
43	오재원	두산	1루수	60	34	349 2/3	5	0	349	27	42	0.987	0	0	0	-
44	이학준	한화	2루수	57	24	259 2/3	8	0	63	76	17	0.946	0	0	0	-
45	이대수	한화	3루수	55	50	420 2/3	2	0	35	99	12	0.985	0	0	0	-
46	서동욱	넥센	2루수	54	34	314 2/3	3	0	80	97	18	0.983	0	0	0	-
47	김태완	삼성	2루수	53	43	346 2/3	2	0	105	100	26	0.990	0	0	0	-
47	조동찬	삼성	2루수	53	44	368	5	0	79	123	23	0.976	0	0	0	-
49	이승엽	삼성	1루수	52	50	426	0	0	369	24	41	1.000	0	0	0	-
50	최희섭	KIA	1루수	50	43	358	5	0	352	19	26	0.987	0	0	0	-
51	허경민	두산	2루수	48	39	343 2/3	4	0	76	112	25	0.979	0	0	0	-
52	오재일	두산	1루수	45	27	267	1	0	260	17	25	0.996	0	0	0	-
53	홍재호	KIA	유격수	44	18	210 2/3	4	0	35	56	13	0.958	0	0	0	-
54	조성우	SK	1루수	42	24	213 2/3	0	0	198	13	24	1.000	0	0	0	-
55	김재호	두산	2루수	39	18	170	2	0	50	67	18	0.983	0	0	0	-
55	이상호	NC	2루수	39	17	185	3	0	49	61	18	0.973	0	0	0	-
57	이병규	LG	1루수	35	22	177 2/3	1	0	180	10	27	0.995	0	0	0	-
58	신명철	삼성	2루수	34	19	181	3	0	39	46	10	0.966	0	0	0	-
58	김성현	SK	2루수	34	8	120 2/3	0	0	30	38	11	1.000	0	0	0	-
58	허경민	두산	3루수	34	15	147 2/3	1	0	21	22	3	0.977	0	0	0	-
58	차화준	NC	2루수	34	20	180 2/3	4	0	42	67	9	0.965	0	0	0	-
62	김현수	두산	1루수	33	10	126 2/3	0	0	108	9	9	1.000	0	0	0	-
63	최윤석	SK	유격수	32	13	136 2/3	4	0	16	52	8	0.944	0	0	0	-
63	한동민	SK	1루수	32	19	170 1/3	1	0	161	10	14	0.994	0	0	0	-
65	박기혁	롯데	유격수	31	22	189 2/3	3	0	33	67	16	0.971	0	0	0	-
65	권용관	LG	3루수	31	8	104 2/3	1	0	3	30	3	0.971	0	0	0	-
67	조동찬	삼성	3루수	30	22	199	0	0	12	39	1	1.000	0	0	0	-
67	김태완	한화	1루수	30	23	206	2	0	189	6	12	0.990	0	0	0	-
67	이양기	한화	1루수	30	24	210 1/3	2	0	221	13	26	0.992	0	0	0	-
70	강명구	삼성	2루수	28	14	135	1	0	32	47	9	0.988	0	0	0	-
71	조성환	롯데	2루수	27	24	205	1	0	55	70	11	0.992	0	0	0	-
72	김동주	두산	3루수	26	26	180	1	0	14	32	2	0.979	0	0	0	-
72	최주환	두산	2루수	26	14	144 1/3	1	0	34	60	15	0.989	0	0	0	-
72	이상호	NC	유격수	26	13	123 1/3	1	0	18	35	5	0.981	0	0	0	-
75	모창민	NC	1루수	25	10	106 1/3	3	0	92	7	3	0.971	0	0	0	-
76	정병곤	삼성	유격수	24	10	110 2/3	2	0	18	39	9	0.966	0	0	0	-
76	지석훈	NC	유격수	24	7	85	1	0	13	23	4	0.973	0	0	0	-
78	정병곤	삼성	2루수	22	4	60 1/3	0	0	10	9	2	1.000	0	0	0	-
79	박준서	롯데	2루수	21	12	93	1	0	24	29	3	0.981	0	0	0	-
79	서동욱	넥센	1루수	21	3	60 1/3	1	0	65	3	7	0.986	0	0	0	-
79	권용관	LG	2루수	21	3	57 2/3	0	0	18	25	8	1.000	0	0	0	-
82	김지수	넥센	2루수	20	11	104	0	0	24	39	7	1.000	0	0	0	-
82	권용관	LG	유격수	20	14	119	2	0	23	30	13	0.964	0	0	0	-
82	김용의	LG	3루수	20	9	85	0	0	8	20	7	1.000	0	0	0	-
85	박기남	KIA	유격수	19	17	122 1/3	4	0	16	38	7	0.931	0	0	0	-
85	조정원	한화	2루수	19	10	73	3	0	16	15	2	0.912	0	0	0	-
87	강봉규	삼성	1루수	18	14	134 2/3	0	0	111	13	15	1.000	0	0	0	-
87	박기남	KIA	2루수	18	12	111	1	0	27	41	8	0.986	0	0	0	-
87	홍재호	KIA	1루수	18	6	67 1/3	0	0	69	7	8	1.000	0	0	0	-
87	이학준	한화	3루수	18	7	89 1/3	0	0	14	19	3	1.000	0	0	0	-
58	차화준	NC	2루수	34	20	180 2/3	4	0	42	67	9	0.965	0	0	0	-
62	김현수	두산	1루수	33	10	126 2/3	0	0	108	9	9	1.000	0	0	0	-
63	최윤석	SK	유격수	32	13	136 2/3	4	0	16	52	8	0.944	0	0	0	-
63	한동민	SK	1루수	32	19	170 1/3	1	0	161	10	14	0.994	0	0	0	-
65	박기혁	롯데	유격수	31	22	189 2/3	3	0	33	67	16	0.971	0	0	0	-
65	권용관	LG	3루수	31	8	104 2/3	1	0	3	30	3	0.971	0	0	0	-
67	조동찬	삼성	3루수	30	22	199	0	0	12	39	1	1.000	0	0	0	-
67	김태완	한화	1루수	30	23	206	2	0	189	6	12	0.990	0	0	0	-
67	이양기	한화	1루수	30	24	210 1/3	2	0	221	13	26	0.992	0	0	0	-
70	강명구	삼성	2루수	28	14	135	1	0	32	47	9	0.988	0	0	0	-
71	조성환	롯데	2루수	27	24	205	1	0	55	70	11	0.992	0	0	0	-
72	김동주	두산	3루수	26	26	180	1	0	14	32	2	0.979	0	0	0	-
72	최주환	두산	2루수	26	14	144 1/3	1	0	34	60	15	0.989	0	0	0	-
72	이상호	NC	유격수	26	13	123 1/3	1	0	18	35	5	0.981	0	0	0	-
75	모창민	NC	1루수	25	10	106 1/3	3	0	92	7	3	0.971	0	0	0	-
76	정병곤	삼성	유격수	24	10	110 2/3	2	0	18	39	9	0.966	0	0	0	-
76	지석훈	NC	유격수	24	7	85	1	0	13	23	4	0.973	0	0	0	-
