순위	선수명	팀명	POS	G	GS	IP	E	PKO	PO	A	DP	FPCT	PB	SB	CS	CS%
1	오지환	LG	유격수	143	142	1198.6666666666667	24	0	211	409	74	0.963	0	0	0	-
2	하주석	한화	유격수	141	132	1142.6666666666667	18	0	194	348	80	0.968	0	0	0	-
3	허경민	두산	3루수	132	121	1046.0	7	0	87	226	29	0.978	0	0	0	-
3	번즈	롯데	2루수	132	127	1073.0	22	0	260	360	81	0.966	0	0	0	-
3	로맥	SK	1루수	132	124	1078.6666666666667	8	0	1026	68	90	0.993	0	0	0	-
6	김재호	두산	유격수	129	114	939.0	12	0	154	285	66	0.973	0	0	0	-
7	박경수	KT	2루수	127	122	1016.0	14	0	283	381	111	0.9790000000000001	0	0	0	-
8	김선빈	KIA	유격수	126	115	962.0	12	0	163	293	62	0.9740000000000001	0	0	0	-
8	김하성	넥센	유격수	126	124	1071.6666666666667	13	0	206	396	69	0.9790000000000001	0	0	0	-
10	황재균	KT	3루수	125	123	1040.3333333333333	17	0	68	221	32	0.9440000000000001	0	0	0	-
11	오재원	두산	2루수	122	116	966.0	16	0	236	305	81	0.971	0	0	0	-
12	김상수	삼성	유격수	120	120	989.0	16	0	164	288	68	0.966	0	0	0	-
12	윤석민	KT	1루수	120	115	954.3333333333335	7	0	881	54	108	0.993	0	0	0	-
14	이원석	삼성	3루수	119	117	965.6666666666665	9	0	87	173	13	0.9670000000000001	0	0	0	-
15	오재일	두산	1루수	115	107	939.6666666666665	4	0	878	53	92	0.996	0	0	0	-
15	스크럭스	NC	1루수	115	113	962.3333333333335	11	0	848	55	94	0.988	0	0	0	-
17	심우준	KT	유격수	114	92	793.0	13	0	174	270	72	0.972	0	0	0	-
18	양석환	LG	3루수	113	109	882.0	11	0	72	171	15	0.9570000000000001	0	0	0	-
18	러프	삼성	1루수	113	111	953.3333333333335	6	0	847	65	88	0.993	0	0	0	-
20	김혜성	넥센	2루수	111	94	818.6666666666665	12	0	192	312	72	0.977	0	0	0	-
21	안치홍	KIA	2루수	110	105	867.6666666666665	8	0	204	276	68	0.9840000000000001	0	0	0	-
21	문규현	롯데	유격수	110	83	726.3333333333335	13	0	105	237	46	0.963	0	0	0	-
23	최정	SK	3루수	109	104	901.6666666666665	11	0	64	184	17	0.958	0	0	0	-
23	김민성	넥센	3루수	109	104	895.6666666666665	7	0	69	163	27	0.971	0	0	0	-
25	박민우	NC	2루수	106	102	827.6666666666665	8	0	242	257	73	0.9840000000000001	0	0	0	-
26	이범호	KIA	3루수	101	92	728.0	4	0	51	142	12	0.98	0	0	0	-
26	박병호	넥센	1루수	101	101	841.6666666666665	11	0	821	57	77	0.988	0	0	0	-
28	김주찬	KIA	1루수	100	95	771.0	3	0	741	31	76	0.996	0	0	0	-
29	채태인	롯데	1루수	99	78	696.3333333333335	4	0	630	52	62	0.9940000000000001	0	0	0	-
29	정주현	LG	2루수	99	95	765.3333333333335	15	0	167	250	46	0.965	0	0	0	-
31	김성현	SK	2루수	94	72	666.6666666666666	8	0	143	208	54	0.978	0	0	0	-
31	송광민	한화	3루수	94	89	738.3333333333335	10	0	48	149	18	0.9520000000000001	0	0	0	-
33	김용의	LG	1루수	89	36	435.33333333333326	1	0	397	34	30	0.998	0	0	0	-
34	신본기	롯데	유격수	83	59	522.6666666666666	11	0	81	166	36	0.9570000000000001	0	0	0	-
35	한동희	롯데	3루수	80	57	505.0	12	0	36	91	11	0.914	0	0	0	-
35	나주환	SK	유격수	80	70	590.6666666666666	11	0	93	192	41	0.963	0	0	0	-
37	손주인	삼성	2루수	76	67	512.3333333333334	5	0	105	175	35	0.982	0	0	0	-
38	강한울	삼성	2루수	75	52	495.66666666666674	4	0	109	154	42	0.985	0	0	0	-
39	류지혁	두산	유격수	74	29	336.0	4	0	71	109	30	0.978	0	0	0	-
40	신본기	롯데	3루수	73	52	434.0	8	0	31	79	12	0.932	0	0	0	-
40	박기혁	KT	유격수	73	38	361.0	3	0	56	124	31	0.9840000000000001	0	0	0	-
42	노진혁	NC	유격수	71	48	437.66666666666674	6	0	65	142	27	0.972	0	0	0	-
43	노진혁	NC	3루수	70	57	467.0	9	0	34	111	12	0.9420000000000001	0	0	0	-
