순위	선수명	팀명	POS	G	GS	IP	E	PKO	PO	A	DP	FPCT	PB	SB	CS	CS%
1	김하성	넥센	유격수	143	141	1203.0	21	0	162	407	78	0.9640000000000001	0	0	0	-
2	허경민	두산	3루수	142	140	1206.3333333333333	7	0	101	220	27	0.9790000000000001	0	0	0	-
3	최정	SK	3루수	140	136	1181.3333333333333	14	0	89	291	32	0.9640000000000001	0	0	0	-
4	정근우	한화	2루수	138	137	1170.6666666666667	16	0	337	406	105	0.9790000000000001	0	0	0	-
5	김재호	두산	유격수	137	129	1065.0	10	0	209	407	90	0.9840000000000001	0	0	0	-
6	서건창	넥센	2루수	133	133	1125.3333333333333	15	0	328	349	82	0.978	0	0	0	-
6	히메네스	LG	3루수	133	129	1123.3333333333333	17	0	109	262	28	0.956	0	0	0	-
8	백상원	삼성	2루수	130	129	1060.6666666666667	8	0	236	298	81	0.985	0	0	0	-
8	이범호	KIA	3루수	130	128	1038.6666666666667	11	0	70	215	30	0.963	0	0	0	-
10	김민성	넥센	3루수	128	123	1060.0	7	0	130	229	19	0.981	0	0	0	-
11	황재균	롯데	3루수	124	122	1055.6666666666667	15	0	85	271	33	0.96	0	0	0	-
12	필	KIA	1루수	123	121	997.6666666666665	13	0	918	69	94	0.987	0	0	0	-
13	오재원	두산	2루수	120	111	941.6666666666665	16	0	211	313	76	0.97	0	0	0	-
14	오지환	LG	유격수	119	112	990.0	17	0	181	365	74	0.97	0	0	0	-
15	박정권	SK	1루수	118	107	918.0	6	0	947	91	91	0.9940000000000001	0	0	0	-
16	박민우	NC	2루수	116	113	897.3333333333335	14	0	224	278	65	0.973	0	0	0	-
17	박석민	NC	3루수	114	111	891.0	15	0	54	153	11	0.932	0	0	0	-
17	테임즈	NC	1루수	114	111	905.0	4	0	803	52	88	0.995	0	0	0	-
17	정훈	롯데	2루수	114	108	851.3333333333335	11	0	201	246	64	0.976	0	0	0	-
20	서동욱	KIA	2루수	113	108	816.6666666666665	6	0	223	240	57	0.987	0	0	0	-
21	고메즈	SK	유격수	112	109	933.0	25	0	185	349	77	0.955	0	0	0	-
21	송광민	한화	3루수	112	109	889.0	12	0	90	192	33	0.9590000000000001	0	0	0	-
23	김성현	SK	2루수	111	107	886.0	9	0	218	323	88	0.9840000000000001	0	0	0	-
24	손시헌	NC	유격수	110	103	863.0	13	0	209	291	80	0.975	0	0	0	-
